Key,AtlasText_english.json,AtlasText_hebrew.json,AtlasText_arabic.json
hippocampus_body,"Hippocampus means ‘sea horse’ in Latin, and some say that the shape of the Hippocampus resembles a sea horse. The Hippocampus plays an important role in generating, coding, and storing new memories, especially conscious memories of events and facts. The Hippocampus also plays a role in spatial memory and orientation.","בלטינית משמעות השם היפוקמפוס היא ""סוּסוֹן ים"", ויש האומרים שההיפוקמפוס דומה בצורתו לחיה זו. להיפוקמפוס חשיבוּת רבּה ביצירה של זיכרונות חדשים, קידודם ואחסונם, בפרט זיכרונות מוּדָעִים והצהרתיים של אירועים ועֻבְדּוֹת. כמו כן יש להיפוקמפוס תפקיד בהתמצאוּת במרחב ובזיכרון מרחבי.","في اللاتينية، معنى الاسم هيبوكمبوس- الحصين هي ""فرس البحر""، ويقول البعض إن الحصين يشبه في شكله هذا الحيوان. للحصين أهمية كبيرة في إنشاء وتعزيز وتخزين ذكريات جديدة، وخاصةً الذكريات الواعية والإعلانية للأحداث والأعمال. يلعب الحصين أيضًا دورًا في تحديد المكان والذاكرة المكانية."
amygdala_title,Amygdala,אַמִיגְדָלָה (גרעין השקד),لوزة دماغية
amygdala_body,"A small area in the depth of the brain that plays an important role in processing different aspects of emotion (most notably, fear). The Amygdala’s importance is twofold: it influences high psychological behaviors that stem from emotion; and it regulates basic bodily functions resulting from emotions (for instance, by raising blood pressure and heart rate).","אזור קטן היושב בעומק המוח, בעל תפקיד חשוב בשליטה על היבטים שונים של רֶגֶשׁ (מפורסם בחשיבותו בתגובות פחד). לאמיגדלה חשיבות כפולה: הן בהשפעות פסיכולוגיות גבוהות על ההתנהגות כתוצאה מֵרְגָשׁוֹת הן בשליטה על תפקודים גופניים בסיסיים כתוצאה מֵרְגָשׁוֹת (למשל, עלייה בלחץ הדם ובקצב הלב).",منطقة صغيرة في عمق الدماغ، تلعب دورًا مهمًا في التحكم في جوانب العاطفة المختلفة (المعروفة بأهميتها في تفاعلات الخوف). لِللوزة الدماغية أهمية مزدوجة: هي بالتأثيرات النفسية العالية على السلوك الناجم عن المشاعر وهي بالتحكم في الوظائف الجسّدية الأساسية نتيجة للعاطفة (على سبيل المثال، زيادة ضغط الدم ومعدل ضربات القلب).
thalamus_title,Thalamus,תָּלָמוּס,المِهاد (الثلاموس)
thalamus_body,"This is the brain’s ‘relay station’. Most of the information that reaches the Cortex from the body and other places in the nervous system (such as information from the senses, apart from the sense of smell) first goes through the Thalamus. Very basic processing of information takes place here, after which it is transmitted to the Cortex.","""תחנת הַמִּמְסָר"" של המוח. רוב המידע שמגיע לקליפת המוח ממקומות שונים בגוף ובמערכת העצבים (למשל, מידע מהחושים, מלבד חוש הריח), עובר קודם כל בתלמוס. באזור זה מתבצע עיבוד ראשוני של המידע, ולאחר מכן הוא נשלח לקליפת המוח.","""مكرر"" الدماغ. معظم المعلومات الّتي تصل إلى القشرة من أجزاء مختلفة من الجسم والجهاز العصبي (على سبيل المثال، معلومات من الحواس، ما عدا حاسة الشم) تمر عبر المهاد أولاً. في هذه المنطقة، تتم معالجة المعلومات أولاً ثم يتم إرسالها إلى القشرة الدماغية."
hypothalamus_title,Hypothalamus,היפּוֹתלמוּס,تحت المهاد (الهايبوثلاموس)
hypothalamus_body,"The Hypothalamus monitors some of the body’s basic behaviors. It regulates hunger and thirst, body temperature, and is responsible for the circadian rhythm. It is connected to many areas in the brain, activates the Pituitary Gland, and secretes hormones that affect processes that take place throughout the body.","מְבַקֵּר כמה מההתנהגויות הבסיסיות של הגוף. שולט בין השאר על תחושות הרעב והצמא, מְוַסֵּת את טמפרטורת הגוף  ואחראי על מנגנון השעון הביולוגי. מקושר לאזורים רבּים במוח, מפעיל את בלוטת יוֹתֶרֶת המוח ומפריש הורמונים שמשפיעים על תהליכים המתרחשים בגוף כולו.",يراقب بعض السلوكيات الأساسية للجسم. يتحكم في مشاعر الجوع والعطش وينظم درجة حرارة الجسم وهو مسؤول عن آلية الساعة البيولوجية. يرتبط بالعديد من مناطق الدماغ، وينشط الغدة النخامية ويفرز الهرمونات الّتي تؤثر على العمليات الّتي تحدث في جميع أنحاء الجسم.
basal_ganglia_title,Basal Nuclei,גרעיני הבסיס,العقد القاعدية
basal_ganglia_body,The Basal nuclei play a central role in regulating movement. Irregular activity on their part may result in Parkinson’s disease. It was recently discovered that they also play a part in cognitive processes that are not related to motion. One of the structures in this cluster is the Nucleus Accumbens – which plays a role in the system that generates reinforcement learning.,בעלי תפקיד מרכזי בשליטה על תנועות. פעילות בלתי תקינה שלהם עלולה לגרום למחלת פרקינסון. לאחרונה התגלה כי יש להם תפקידים בתהליכים קוגניטיביים שאינם קשורים לתנועה. אחד הגרעינים בצֶּבֶר זה הוא גרעין הָאָקוּמְּבַּנְס – חלק מרכזי במערכת שיוצרת למידה בעקבות חיזוק חיובי במוח.,لها دور مركزي في السيطرة على الحركات. نشاطهم غير الطبيعي قد يسبب مرض الرعاش. لقد تم مؤخرًا الكشف عن أن لديهم أدوارًا في العمليات المعرفية غير المرتبطة بالحركة. أحد النواة في هذه المجموعة هي النواة المتكئة - جزء مركزي من النظام الذي يخلق التعلم نتيجة التعزيز الإيجابي في الدماغ.
cerebellum_title,Cerebellum,צֶרֶבֶּלוּם (המוֹחוֹן),المُخَيخ
cerebellum_body,"One of the most mysterious and fascinating areas of the nervous system. Despite comprising only 15% of the brain’s size, it contains 60% of the neurons. It is notable for its motor roles such as coordination, balance, precision and timing. Studies have found that it is also related to higher functions such as memory, learning, decision making, and emotion.","אחד האזורים המסתוריים והמרתקים במערכת העצבים. למרות שגודלו רק 15% מהמוח הוא מכיל 60% מתאי המוח. מפורסם בתפקידים המוטוריים שלו, ובין השאר חשוב לקואורדינציה; לשיווי משקל ולשליטה על דיוּק ותזמוּן. חוקרים מוצאים הֶקְשֵׁרִים שלו גם לתפקידים גבוהים כמו זיכרון; למידה; קבלת החלטות ורֶגֶשׁ.",أحدى المناطق الغامضة والرائعة في الجهاز العصبي. على الرغم من أنه يمثل 15٪ فقط من الدماغ، إلا أنه يحتوي على 60٪ من خلايا الدماغ. يشتهر بأدواره الحركية، ومن جملة الأمور الأخرى، التنسيق؛ التوازن والسيطرة على الدقة والتوقيت. يجد الباحثون أيضًا علاقات أخرى له تتعلق بأدوار عالية مثل الذاكرة؛ التعلم؛ صنع القرار والعاطفة.
brain_stem_title,Brain Stem,גזע המוח,جذع الدماغ
brain_stem_body,"This is essential for the basic functions of the body and brain. It monitors and regulates the activity of major processes such as blood pressure; pulse and breathing. It also plays a significant role in regulating sleep, wakefulness, and the state of consciousness. It controls the face and eye muscles and is responsible for areas related to facial reflexes. It also contains the area responsible for pain relief.","חשוב לתפקודים בסיסיים של הגוף והמוח. מבקר וּמְוַסֵּת את פעולתם של תהליכים חשובים כמו לחץ הדם; הדופק והנשימה  ומשמעותי בשליטה על שֵׁנָה, עֵרוּת ומצב ההכרה. שולט בשרירי הפנים והעיניים ואחראי על חִישַׁת מגע מִשָּׁם. כולל את אזור שיכוך הכאב וכן אזורים הקשורים לרפלקסים בַּפָּנִים.",مهم للوظائف الأساسية للجسم والدماغ. يراقب وينظم أداء العمليات الهامة مثل ضغط الدم؛ نبضات القلب والتنفس والسيطرة على النوم، الصحو وحالة الوعي. يتحكم في عضلات الوجه والعينين وهو مسؤول عن حاسة اللمس من هناك. بما في ذلك منطقة تخفيف الآلام وكذلك المناطق المرتبطة بردود فعل (منعكسات) بالوجه.
