Key,en,pl
OS_MAP_P38_CITY,"London, United Kingdom","Londyn, Wielka Brytania"
OS_MAP_P39_NAME,The Royal Institute of Technology,Królewski Instytut Technologiczny w Sztokholmie
OS_MAP_P39_CITY,"Stockholm, Sweden","Sztokholm, Szwecja"
OS_MAP_P40_NAME,European Non Linear Spectroscopy Laboratory,Europejskie Laboratorium Spektroskopii Nieliniowej
OS_MAP_P40_CITY,"Florence, Italy","Florencja, Włochy"
OS_MAP_P41_NAME,Linnaeus University,Uniwersytet Linneusza
OS_MAP_P41_CITY,"Kalmar, Sweden","Kalmar, Szwecja"
OS_MAP_P41_DESC,"At Linnaeus University Shamim Patel (ACA)
(Department of External Relations) and Dr Kim Håkansson (Faculty of Health Life Sciences) both work on the HBP as part of the Ethics Support team. Shamim manages the Ethics Advisory Board and Other Ethics Services and Kim is the HBP Animal Research Ethics Coordinator.","Reprezentujący Uniwersytet Linneusza Shamin Patel (ACA) (Departament Relacji Zewnętrznych) i dr Kim Håkansson (Wydział Nauk o Zdrowiu i Życiu) pracują wspólnie w projekcie HBP jako członkowie Zespołu Wsparcia ds. Etyki. Shamim kieruje Radą Konsultacyjną i Zespołem Obsługi Spraw z zakresu Etyki, zaś Kim jest Koordynatorem ds. Etyki Badań na Zwierzętach."
OS_MAP_P42_NAME,The Medical University of Innsbruck,Uniwersytet Medyczny w Innsbrucku
OS_MAP_P42_CITY,"Innsbruck, Austria","Innsbruck, Austria"
OS_MAP_P42_DESC,"The Medical University of Innsbruck was one of the first faculties of the University of Innsbruck, Austria, and played an important role throughout its 340-year history. As an HBP partner, it hosts the interdisciplinary HBP Education Programme for
early-career researchers, supports trainings on HBP infrastructure and coordinates HBP outreach and engagement activities.","Uniwersytet Medyczny w Innsbrucku był jednym z pierwszych wydziałów Uniwersytetu w Innsbrucku i odgrywał ważną rolę w jego 340-letniej historii. Jako partner HBP jest gospodarzem interdyscyplinarnego Programu Edukacyjnego HBP dla młodych naukowców, pomaga w organizacji szkoleń z zakresu infrastruktury HBP i koordynuje działania informacyjne i angażujące HBP."
OS_MAP_P43_NAME,National and Kapodistrian University of Athens,Uniwersytet Narodowy im. Kapodistriasa w Atenach
OS_MAP_P43_CITY,"Athens, Greece","Ateny, Grecja"
OS_MAP_P44_NAME,The Norwegian University of Life Sciences,Norweski Uniwersytet Nauk o Życiu
OS_MAP_P44_CITY,"Ås, Norway","Ås, Norwegia"
OS_MAP_P44_DESC,"The Computational Neuroscience Group at the Norwegian University of Life Sciences (NMBU) develops simulation technology for brain-scale network simulations on supercomputers as well as methods and tools to compute brain signals such as
EEG and MEG from simulations for direct comparison to experiments.","Zespół Neuronauki Obliczeniowej przy Norweskim Uniwersytecie Nauk o Życiu (NMBU) rozwija technologie symulacyjne na potrzeby superkomputerowych symulacji sieciowych w skali mózgu, jak również metody i narzędzia do komputacji sygnałów mózgowych (takich jak EEG i MEG) – od symulacji na potrzeby porównań bezpośrednich po eksperymenty."
OS_MAP_P45_NAME,Austrian Research Society for Cybernetics,Austriackie Towarzystwo Naukowe Cybernetyki
OS_MAP_P45_CITY,"Vienna, Austria","Wiedeń, Austria"
OS_MAP_P46_NAME,"Rheinisch-Westfälische
Technical University of Aachen",Reńsko-Westfalski Uniwersytet Techniczny w Akwizgranie
OS_MAP_P46_CITY,"Aachen, Germany","Akwizgran, Niemcy"
OS_MAP_P47_NAME,Ruprecht-Karls-University Heidelberg,Uniwersytet Ruprechta i Karola w Heidelbergu
OS_MAP_P47_CITY,"Heidelberg, Germany","Heidelberg, Niemcy"
OS_MAP_P47_DESC,"The UHEI group explores and implements novel concepts for information processing in massively parallel, mixed-signal VLSI technologies. The group led the EU project BrainScaleS, one of the foundations for the HBP and in that context pioneered the use of wafer-scale integration for physical neuromorphic systems, now continued in
HBP.","Zespół UHEI bada i wdraża nowatorskie koncepcje na potrzeby przetwarzania informacji w masowo równoległych technologiach VLSI z mieszanym sygnałem. Zespół kierował projektem UE BrainScaleS, jednym z fundamentów HBP, i w tym kontekście był pionierem wykorzystania integracji w skali wafla dla fizycznych systemów neuromorficznych, kontynuowanej obecnie w ramach HBP."
OS_MAP_P48_NAME,Sabanci University,Uniwersytet Sabanci
OS_MAP_P48_CITY,"Istanbul, Turkey","Stambuł, Turcja"
OS_MAP_P49_NAME,Sant'Anna School of Advanced Studies,Scuola Superiore di Sant’Anna
OS_MAP_P49_CITY,"Pisa, Italy","Piza, Włochy"
OS_MAP_P50_NAME,Center for Mathematics and Computer Science,Centrum Matematyki i Informatyki
OS_MAP_P50_CITY,"Amsterdam, The Netherlands","Amsterdam, Holandia"
OS_MAP_P51_NAME,The Catholic University Foundation,Fundacja Uniwersytetu Katolickiego
OS_MAP_P51_CITY,"Nijmegen, The Nethterlands","Nijmegen, Holandia"
OS_MAP_P52_NAME,"The FZI Research Center for
Information Technology in Karlsruhe",Ośrodek Badawczy Informatyki FZI w Karlsruhe
OS_MAP_P52_CITY,"Karlsruhe, Germany","Karlsruhe, Niemcy"
OS_MAP_P52_DESC,"FZI is a non-profit institution for applied
research in information technology and technology transfer. FZI is researching neuro-robotics and closed-loop experiments in the HBP with the goal to better understand the highly complex vision and motion systems of humans.","FZI jest niekomercyjną instytucją zajmującą się badaniami stosowanymi w obszarach informatyki i transferu technologii. W ramach HBP FZI prowadzi badania z zakresu neurorobotyki i eksperymenty w obiegu zamkniętym, których celem jest lepsze poznanie złożonych układów widzenia i ruchu u ludzi."
OS_MAP_P53_NAME,Technical University of Crete,Kreteński Uniwersytet Techniczny
OS_MAP_P53_CITY,"Crete, Greece","Kreta, Grecja"
OS_MAP_P54_NAME,The Technical University Dresden,Uniwersytet Techniczny w Dreźnie
OS_MAP_P54_CITY,"Dresden, Germany","Drezno, Niemcy"
OS_MAP_P54_DESC,"The TU Dresden is one of eleven German
Universities of Excellence. Within the HBP, the chair for Highly-Parallel VLSI Systems and Neuromorphic Circuits is responsible for the design and implementation of the SpiNNaker2 neuromorphic system, aiming at real-time human brain-size spiking neural network simulation on 10 million ARM processors.","Uniwersytet Techniczny w Dreźnie jest jedną z jedenastu niemieckich uczelni wyróżnionych w ramach Inicjatywy Doskonałości. W projekcie HBP, jako lider w dziedzinie Masowo Równoległych Układów VLSI i Obwodów Neuromorficznych, odpowiada za projekt i wdrożenie układu neuromorficznego SpinNNaker2, którego celem jest symulacja w czasie rzeczywistym aktywnej elektrycznie sieci neuronowej w skali ludzkiego mózgu w oparciu o 10 mln procesorów ARM."
OS_MAP_P55_NAME,Graz University of Technology,Uniwersytet Technologiczny w Grazu
OS_MAP_P55_CITY,"Graz, Austria","Graz, Austria"
OS_MAP_P56_NAME,The Technical University of Munich,Monachijski Uniwersytet Techniczny (TUM)
OS_MAP_P56_CITY,"Munich, Germany","Monachium, Niemcy"
OS_MAP_P56_DESC,"The Technical University of Munich (TUM) is one of the highest ranked universities in Europe, and the Department of Informatics one of the largest computer science departments in Germany, with a long tradition of industry collaboration. In HBP, TUM leads development of the NeuroRobotics Platform, compliant neurorobotics, and behavioral architectures.","Monachijski Uniwersytet Techniczny jest jedną najwyżej notowanych uczelni w Europie, a jego Wydział Informatyczny należy do największych wydziałów informatycznych w Niemczech, mającym długą tradycję współpracy branżowej. W ramach HBP TUM kieruje rozwojem Platformy Neurorobotycznej, etycznej neurorobotyki oraz architektury behawioralnej."
OS_MAP_P57_NAME,Tel Aviv University,Uniwersytet Telawiwski (TAU)
OS_MAP_P57_CITY,"Tel Aviv, Israel","Tel Awiw, Izrael "
OS_MAP_P57_DESC,"Tel Aviv University (TAU) is a leading,
comprehensive academic institution that offers almost all areas of science on one campus. In HBP TAU holds the vice chairmanship for medical informatics and is responsible for the development of statistical methodology in the project, alongside its application in clinical research.","Uniwersytet Telawiwski (TAU) jest wiodącą multidyscyplinarną instytucją akademicką, oferującą niemal wszystkie dziedziny nauki w jednym kampusie. W ramach HBP TAU współprzewodniczy obszarowi informatyki medycznej i odpowiada w projekcie za rozwój metodyki statystycznej, jak również za jej wdrażanie w badaniach klinicznych."
OS_MAP_P59_NAME,"The Chancellor, Masters and Scholars of the University of Oxford",Uniwersytet Oksfordzki
OS_MAP_P59_CITY,"Oxford, United Kingdom","Oksford, Wielka Brytania"
OS_MAP_P60_NAME,Hebrew University of Jerusalem,Uniwersytet Hebrajski w Jerozolimie
OS_MAP_P60_CITY,"Jerusalem, Israel","Jerozolima, Izrael"
OS_MAP_P60_DESC,"Idan Segev's team involved with the HBP is located at the new Edmond and Lily Safra Center for Brain Sciences (ELSC), at the Hebrew University of Jerusalem. ELSC encompasses a powerful computer cluster for large-scale simulations and the prestigious Ph.D. program in Neural Computation (100 multidisciplinary students).",Działający w projekcie HBP zespół Idana Segeva ulokowany jest w nowym Centrum Badań nad Mózgiem Edmonda i Lily Safrów (ELSC) przy Uniwersytecie Hebrajskim w Jerozolimie. ELSC posiada potężny klaster komputerowy służący wielkoskalowym symulacjom oraz prowadzi program doktorancki w dziedzinie Komputacji Neuronowej (100 multidyscyplinarnych doktorantów).
OS_MAP_P61_NAME,University of Aberdeen,Uniwersytet w Aberdeen
OS_MAP_P61_CITY,"Aberdeen, United Kingdom","Aberdeen, Wielka Brytania"
OS_MAP_P62_NAME,University of Edinburgh,Uniwersytet Edynburski
OS_MAP_P62_CITY,"Edinburgh, United Kingdom","Edynburg, Wielka Brytania"
OS_MAP_P63_NAME,University of Manchester,Uniwersytet Manchesterski
OS_MAP_P63_CITY,"Manchester, United Kingdom","Manchester, Wielka Brytania"
OS_MAP_P63_DESC,"The University of Manchester, based in the world's first industrial city, has been host to 25 Nobel Laureates and Alan Turing, seen the atom split, the birth of the modern computer, and the discovery of graphene. Within the HBP it hosts SpiNNaker, the world's largest neuromorphic computing platform.","Uniwersytet Manchesterski, z siedzibą w pierwszym na świecie mieście przemysłowym, gościł 25 noblistów oraz Alana Turinga, był świadkiem rozszczepienia atomu, narodzin współczesnego komputera i odkrycia grafenu. W ramach HBP gości program SpiNNaker, największą na świecie platformę obliczeń neuromorficznych. "
OS_MAP_P64_NAME,The Autonomous University of Madrid,Uniwersytet Autonomiczny w Madrycie
OS_MAP_P64_CITY,"Madrid, Spain","Madryt, Hiszpania"
OS_MAP_P65_NAME,Castilla-La Mancha university,Uniwersytet Castilla-La Mancha
OS_MAP_P65_CITY,"Ciudad Real, Spain","Ciudad Real, Hiszpania"
OS_MAP_P66_NAME,Granada University,Uniwersytet w Granadzie
OS_MAP_P66_CITY,"Granada, Spain","Granada, Hiszpania"
OS_MAP_P66_DESC,"The Applied Computational Neuroscience lab led by Prof. Eduardo Ros at Granada University builds models of neural systems as the cerebellum among others. We aim to better understand the computational principles of these neural centers and how they are supported by biophysical substrate (properties of cells, network and adaptation mechanisms).","Kierowane przez prof. Eduarda Rosa Laboratorium Stosowanej Neuronauki Obliczeniowej przy Uniwersytecie w Granadzie buduje modele układów neuronowych, między innymi móżdżku. Naszym celem jest lepsze zrozumienie, jakie zasady obliczeniowe rządzą tymi ośrodkami nerwowymi oraz jak są one wspierane przez substrat biofizyczny (właściwości komórek, sieć i mechanizmy adaptacyjne). "
OS_MAP_P67_NAME,Minho university,Uniwersytet Minho
OS_MAP_P67_CITY,"Braga, Portugal","Braga, Portugalia"
OS_MAP_P68_NAME,The Technical University of Madrid,Uniwersytet Techniczny w Madrycie
OS_MAP_P68_CITY,"Madrid, Spain","Madryt, Hiszpania"
OS_MAP_P68_DESC,"Technical University of Madrid (UPM) is the
largest Spanish technological university. With two recognitions as Campus of International Excellence, it is outstanding in its research activity. Five research UPM groups are participating in the project working on the fields of Neuroscience, Data Analysis, High-Performance Computing and Innovation.","Uniwersytet Techniczny w Madrycie (UPM) jest największą hiszpańską politechniką. Dwukrotnie wyróżniony tytułem Campus of International Excellence, szczyci się znakomitymi osiągnięciami naukowymi. W projekcie uczestniczy pięć zespołów badawczych UPM, działając w obszarach Neuronauki, Analizy Danych, Obliczeń Wysokiej Wydajności oraz Innowacji."
OS_MAP_P69_NAME,The Universidad Rey Juan Carlos,Universidad Rey Juan Carlos
OS_MAP_P69_CITY,"Madrid, Spain","Madryt, Hiszpania"
OS_MAP_P69_DESC,"The role of the Universidad Rey Juan Carlos (URJC) in the HBP is, on one hand, to develop visualization tools that allow neuroscientists to do visual exploratory analysis of data, both morphological or simulation. On the other hand, URJC is also responsible of the development of the remote visualization backend.","W ramach HBP Uniwersytet Króla Jana Karola (URJC) z jednej strony rozwija narzędzia wizualizacji pozwalające neuronaukowcom prowadzić wzrokową analizę danych, zarówno morfologicznych, jak i symulacyjnych. Z drugiej strony URJC odpowiada za rozwój systemów wizualizacji na odległość."
OS_MAP_P70_NAME,The University of Pavia,Uniwersytet w Pawii
OS_MAP_P70_CITY,"Pavia, Italy","Pawia, Włochy"
OS_MAP_P71_NAME,Universit?ֳ₪t Bern,Uniwersytet Berneński
OS_MAP_P71_CITY,"Bern, Switzerland","Berno, Szwajcaria"
OS_MAP_P71_DESC,"In the Computational Neuroscience group at the University of Bern we investigate the
extraordinary learning capabilities of biological systems. Building mathematical models and computer simulations we explore how these processes could be organized in the central nervous system, and
how the underlying computational principles can enhance the capabilities of biologically inspired artificial intelligence.","W zespole Neuronauki Obliczeniowej na Uniwersytecie Berneńskim badamy niezwykłe zdolności uczenia się układów biologicznych. Budując modele matematyczne i symulacje komputerowe, sprawdzamy, jak te procesy są zorganizowane w centralnym układzie nerwowym i jak leżące u ich podstaw zasady obliczeniowe mogą zwiększać możliwości inspirowanej biologią sztucznej inteligencji."
OS_MAP_P72_NAME,Universität Bielefeld,Uniwersytet w Bielefeld
OS_MAP_P72_CITY,"Bielefeld, Germany","Bielefeld, Niemcy"
OS_MAP_P72_DESC,"Bielefeld University develops a modular, scalable benchmark framework which allows scientific end users to select the best neuromorphic hardware system and a matching platform-agnostic network
architecture based on their specific requirements. We are also contributing to graphical software tools and accompanying libraries aimed at domain experts in neuro science.","Uniwersytet w Bielefeld opracowuje modułowe, skalowalne ramy referencyjne, które pozwalają naukowym użytkownikom końcowym dobierać optymalne hardware'owe systemy neuromorficzne i odpowiadającą im niezależną od platformy architekturę na podstawie konkretnych wymagań. Wnosimy również wkład w rozwój narzędzi oprogramowania graficznego i towarzyszących mu bibliotek adresowanych do specjalistów z obszaru neuronauki."
OS_MAP_P73_NAME,Aachen University Hospital,Szpital Uniwersytecki w Akwizgranie
OS_MAP_P73_CITY,"Aachen, Germany","Akwizgran, Niemcy"
OS_MAP_P73_DESC,"Aachen University Hospital combines patient care, medical education and translational research. It is currently involved in two tasks of HBP. In collaboration with Jülich we intend to improve our understanding of receptor architecture. We also try to implement a federated database to enable
Big Data analyses of psychiatric disorders.","Szpital Uniwersytecki w Akwizgranie łączy opiekę nad pacjentami, dydaktykę medyczną i międzynarodowe badania. Aktualnie zaangażowany jest w dwa zadania w ramach HBP. We współpracy z Jülich chcemy podnosić poziom wiedzy na temat architektury receptorów. Próbujemy również wdrażać zfederowaną bazę danych, co umożliwi analizy big data zaburzeń psychicznych."
OS_MAP_P74_NAME,University Hospital Hamburg-Eppendorf,Szpital Uniwersytecki Hamburg-Eppendorf
OS_MAP_P74_CITY,"Hamburg, Germany","Hamburg, Niemcy"
OS_MAP_P75_NAME,University of Zurich,Uniwersytet Zuryski
OS_MAP_P75_CITY,"Zürich, Switzerland","Zurych, Szwajcaria"
OS_MAP_P76_NAME,University of Barcelona,Uniwersytet Barceloński
OS_MAP_P76_CITY,"Barcelona, Spain","Barcelona, Hiszpania"
OS_MAP_P77_NAME,Pompeu Fabra University,Uniwersytet Pompeu Fabra
OS_MAP_P77_CITY,"Barcelona, Spain","Barcelona, Hiszpania"
OS_MAP_P77_DESC,"Universitat Pompeu Fabra (UPF) Center for Brain and Cognition, PI: Gustavo Deco. UPF leads work package 4.4 'Models of Brain Activity and Function'. UPF participates in work package 4.5 'Linking Model Activity And Function To Experimental Data' and builds whole-brain network models for individuals that mimic pathologies
including epilepsy.","Centrum Mózgu i Kognicji Uniwersytetu Pompeu Fabra (UPF), główny badacz: Gustavo Deco. UPF jest liderem pakietu 4.4. „Modele aktywności i funkcji mózgu”. UPF uczestniczy również w pracach nad pakietem 4.5. „Powiązanie modelowych aktywności i funkcji z danymi eksperymentalnymi” oraz buduje modele sieciowe całego mózgu imitujące patologie, między innymi epilepsję."
OS_MAP_P78_NAME,University of Aix Marseille,Uniwersytet Aix-Marseille
OS_MAP_P78_CITY,"Marseille, France","Marsylia, Francja"
OS_MAP_P78_DESC,"Institut de Neurosciences des Systèmes (INS) in the University is a multidisciplinary research institute focused on understanding the complex dynamics of the brain. Within HBP, INS works on demonstrating the predictive value of large-scale brain network models, in particular for the individualized epileptic activity and for the impaired connectivity, and on building a multi-scale brain atlas.","Institut de Neurosciences des Systèmes (INS) przy Uniwersytecie Aix-Marseille jest multidyscyplinarną placówką badawczą, która skupia się na zrozumieniu złożoności dynamiki mózgu. W ramach HBP INS pracuje nad wykazaniem predykcyjnych zdolności modeli sieci mózgowych, w szczególności w indywidualnych przypadkach epilepsji i upośledzonych połączeń mózgowych, a także na budowie wieloskalowego atlasu mózgu."
OS_MAP_P79_NAME,University of Bordeaux,Uniwersytet w Bordeaux
OS_MAP_P79_CITY,"Bordeaux, France","Bordeaux, Francja"
OS_MAP_P80_NAME,Antwerp University,Uniwersytet w Antwerpii
OS_MAP_P80_CITY,"Antwerp, Belgium","Antwerpia, Belgia"
OS_MAP_P80_DESC,"At Antwerp University, we study cortical function combining technological, experimental and theoretical approaches, ranging from arrays of microelectrodes to patch-clamp and from the micro- and nanotechnologies for to the computer
simulation of neuron models. We lead in HBP the task on Input-Output Transfer function.","Na Uniwersytecie w Antwerpii badamy funkcję korową, łącząc technologiczne, eksperymentalne i teoretyczne podejścia badawcze, od zestawów mikroelektrod po metodę patch-clamp, od mikro- i nanotechnologii po komputerowe symulacje modeli neuronowych. W HBP jesteśmy liderem zadania dotyczącego funkcji Przejścia Wejście-Wyjście."
OS_MAP_P81_NAME,University of Oslo,Uniwersytet w Oslo
OS_MAP_P81_CITY,"Oslo, Norway","Oslo, Norwegia"
OS_MAP_P82_NAME,University College London,University College London
OS_MAP_P82_CITY,"London, United Kingdom","Londyn, Wielka Brytania"
OS_MAP_P82_DESC,"University College London (UCL) is London's leading multidisciplinary university and is the top university in the United Kingdom for research strength. UCL contribution to SP6 is to provide correlated electrophysiological and anatomical
data from hippocampal neurones for the generation of a data-driven model of the hippocampus.",University College London (UCL) jest wiodącą londyńską uczelnią multidyscyplinarną i najlepszym brytyjskim uniwersytetem pod względem potencjału badawczego. Wkładem UCL w SP6 jest dostarczanie skorelowanych danych elektrofizjologicznych i anatomicznych z neuronów hipokampu na potrzeby generowania bazujących na danych modeli hipokampu.
OS_MAP_P83_NAME,Uppsala University,Uniwersytet w Uppsali
OS_MAP_P83_CITY,"Uppsala, Sweden","Uppsala, Szwecja"
OS_MAP_P83_DESC,"Uppsala University is part of the HBP through its Neuro-ethics and Philosophy Group in the Centre for Research Ethics and Bioethics. This group, led by Professor Kathinka Evers - director of the Subproject 'Ethics & Society'- carries out conceptual and philosophical analyses of
theoretical and practical issues raised by
neuroscience, ICT and applications.","Uniwersytet w Uppsali uczestniczy w HBP poprzez swój Zespół Neuroetyki i Filozofii przy Ośrodku Etyki Badań i Bioetyki. Zespół ten, kierowany przez prof. Kathinkę Evers – dyrektora podprojektu „Etyka i Społeczeństwo” – prowadzi konceptualne i filozoficzne analizy teoretycznych i praktycznych zagadnień wyłaniających się na tle neuronauki, informatyki i ich zastosowań."
OS_MAP_P84_NAME,The Weizmann Institute of Science,Instytut Naukowy Weizmanna
OS_MAP_P84_CITY,"Rehovot, Israel","Rehovot, Izrael"
OS_MAP_P84_DESC,"The Weizmann Institute of Science is one of the world's top-ranking multidisciplinary research institutes that explore the natural and exact sciences. The Institute's involvement in HBP is in modeling visual system functional and circuit models, with applications to cognition and neuro-robotics; and in generating mathematical models of memory to better understand human cognition.","Instytut Naukowy Weizmanna jest jednym z najwyżej notowanych w świecie multidyscyplinarnych instytutów badawczych zajmujących się naukami przyrodniczymi i ścisłymi. Uczestnictwo Instytutu w HBP obejmuje modelowanie funkcjonalnych i obwodowych modeli układu wzrokowego, z zastosowaniami do kognicji i neurobotyki, a także na generowaniu modeli matematycznych pamięci w celu lepszego zrozumienia ludzkiego procesu poznawczego. "
OS_MAP_P85_NAME,Technische Universität Darmstadt,Uniwersytet Techniczny w Darmstadt
OS_MAP_P85_CITY,"Darmstadt, Germany","Darmstadt, Niemcy"
OS_MAP_P85_DESC,"The Laboratory for Parallel Programming belongs to the Department of Computer Science at Technische Universität Darmstadt in Germany. We are working
on methods that make data-intensive brain analyses run faster and on algorithms that help better understand how individual neurons connect to each other.","Laboratorium Paralelnego Programowania działa przy Wydziale Informatyki Uniwersytetu w Darmstadt. Pracujemy nad metodami przyspieszającymi analizy mózgu wykorzystujące duże ilości danych oraz nad algorytmami pomagającymi zrozumieć, jak pojedyncze neurony komunikują się ze sobą."
OS_MAP_P86_NAME,University of Geneva,Uniwersytet Genewski
OS_MAP_P86_CITY,"Geneva, Switzerland","Genewa, Szwajcaria"
OS_MAP_P87_NAME,University of Glasgow,Uniwersytet w Glasgow
OS_MAP_P87_CITY,"Glasgow, United Kingdom","Glasgow, Wielka Brytania"
OS_MAP_P89_NAME,University of Hamburg,Uniwersytet Hamburski
OS_MAP_P89_CITY,"Hamburg, Germany","Hamburg, Niemcy"
OS_MAP_P90_NAME,Humboldt University of Berlin,Uniwersytet Humboldta w Berlinie
OS_MAP_P90_CITY,"Berlin, Germany","Berlin, Niemcy"
OS_MAP_P91_NAME,"The Royal Netherlands Academy
of Arts and Sciences",Królewska Holenderska Akademia Sztuk i Nauk
OS_MAP_P91_CITY,"Amsterdam, The Netherlands","Amsterdam, Holandia"
OS_MAP_P92_NAME,The National Institute of Nuclear Physics,Narodowy Instytut Fizyki Nuklearnej
OS_MAP_P92_CITY,"Rome, Italy","Rzym, Włochy"
OS_MAP_P93_NAME,August Pi i Sunyer Biomedical Research Institute,Instytut Badań Biomedycznych Augusta Pi i Sunyer
OS_MAP_P93_CITY,"Barcelona, Spain","Barcelona, Hiszpania"
OS_MAP_P94_NAME,University of Milan,Uniwersytet Mediolański
OS_MAP_P94_CITY,"Milan, Italy","Mediolan, Włochy"
OS_MAP_P94_DESC,"Dr. Massimini's research group is located at the University of Milan and focuses on the neurophysiological factors supporting complex interactions within the human brain and their role for the fading and recovery of consciousness across brain states (sleep, anesthesia and brain lesions) through invasive and non-invasive techniques across different spatial scales.","Grupa dr. Massiminiego działa na Uniwersytecie Mediolańskim i skupia się na neurofizjologicznych czynnikach wspierających złożone interakcje w ludzkim mózgu oraz ich roli w zanikaniu i odzyskiwaniu świadomości w różnych stanach mózgu (sen, anestezja i uszkodzenia mózgu) za pomocą inwazyjnych i nieinwazyjnych technik w różnych skalach przestrzennych."
OS_MAP_P95_NAME,Institute for Bioengineering of Catalonia,Kataloński Instytut Bioinżynierii
OS_MAP_P95_CITY,"Barcelona, Spain","Barcelona, Hiszpania"
OS_MAP_P96_NAME,National Institute of Health,Narodowy Instytut Zdrowia
OS_MAP_P96_CITY,"Rome, Italy","Rzym, Włochy"
OS_MAP_P97_NAME,University of Liège,Uniwersytet w Liège
OS_MAP_P97_CITY,"Liège, Belgium","Liège, Belgia"
OS_MAP_P97_DESC,"Our GIGA-Consciousness Unit is part of the GIGA research institute (University of Liège, Belgium). In the framework of HBP, our multidisciplinary team aims at studying human consciousness and its
pathological, pharmacological and physiological modifications, notably using electrophysiology and neuroimaging tools, as well as investigating the ethical issues of such a research.","Nasza jednostka GIGA-Consciousness jest częścią instytutu badawczego GIGA (Uniwersytet w Liège). W ramach HBP nasz multidyscyplinarny zespół bada ludzką świadomość i jej patologiczne, farmakologiczne i fizjologiczne modyfikacje, szczególnie za pomocą narzędzi z obszaru elektrofizjologii i neuroobrazowania, jak również rozważa zagadnienia etyczne powstające na tle takich badań."
OS_MAP_P98_NAME,The University of Amsterdam,Uniwersytet Amsterdamski
OS_MAP_P98_CITY,"Amsterdam, The Netherlands","Amsterdam, Holandia"
OS_MAP_P98_DESC,"The University of Amsterdam is included in
investigating cognitive and system neuroscience phenomena in HBP, besides coordinating 5 teams of researchers from 17 institutions around Europe. Our main focus is to study perception, memory, sleep, consciousness and develop methods for integrating data from multiple scales into HBP ICT Platforms.","Uniwersytet Amsterdamski włącza się w HBP poprzez badania nad kognitywnymi i układowymi zjawiskami neuronaukowymi, koordynując pracę 5 zespołów badawczych z 17 instytucji z całej Europy. Skupiamy się głównie na badaniach nad percepcją, pamięcią, snem i świadomością oraz opracowujemy metody włączania danych z różnych poziomów do platform informatycznych HBP."
OS_MAP_P99_NAME,The German Center for Neurodegenerative Diseases,Niemieckie Centrum Chorób Neurodegeneracyjnych
OS_MAP_P99_CITY,"Bonn, Germany","Bonn, Niemcy"
OS_MAP_P99_DESC,"The core objectives of the research are to
understand causes and risk factors for
neurodegenerative diseases & to develop new therapeutic and preventive strategies by
translating fundamental discoveries into clinical and public health applications. Within the HBP we are focusing on deciphering the heterogeneity of neurons by single-cell RNA-sequencing.",Głównym celem badań jest zrozumienie przyczyn i czynników ryzyka towarzyszących chorobom neurodegeneracyjnym oraz opracowywanie strategii terapeutycznych i prewencyjnych poprzez przekładanie fundamentalnych odkryć na zastosowania kliniczne i publicznozdrowotne. W ramach HBP skupiamy się na rozszyfrowywaniu heterogeniczności neuronów w drodze sekwencjonowania RNA pojedynczych komórek.
OS_MAP_P100_NAME,University of Sheffield,Uniwersytet w Sheffield
OS_MAP_P100_CITY,"Sheffield, United Kingdom","Sheffield, Wielka Brytania"
OS_MAP_P101_NAME,"University of the West of England, UWE Bristol",Uniwersytet Zachodnioangielski (UWE Bristol)
OS_MAP_P101_CITY,"Bristol, United Kingdom","Bristol, Wielka Brytania"
OS_MAP_P102_NAME,University of Surrey,Uniwersytet Surrey
OS_MAP_P102_CITY,"Guildford, United Kingdom","Guildford, Wielka Brytania"
OS_MAP_P103_NAME,Tampere University,Uniwersytet Tampere
OS_MAP_P103_CITY,"Turku, Finland","Turku, Finlandia"
OS_MAP_P104_NAME,University of Leeds,Uniwersytet w Leeds
OS_MAP_P104_CITY,"Leeds, United Kingdom","Leeds, Wielka Brytania"
OS_MAP_P105_NAME,Pierre and Marie Curie University,Uniwersytet Piotra i Marii Curie
OS_MAP_P105_CITY,"Paris, France","Paryż, Francja"
OS_MAP_P106_NAME,University of Sussex,Uniwersytet Sussex
OS_MAP_P106_CITY,"Falmer, United Kingdom","Falmer, Wielka Brytania"
OS_MAP_P107_NAME,Middlesex University,Uniwersytet Middlesex
OS_MAP_P107_CITY,"Hendon, London, United Kingdom","Hendon (Londyn), Wielka Brytania"
OS_MAP_P107_DESC,"Middlesex University is in London, and HBP
research at Middlesex focuses on Neuromorphic Embodied Agents that Learn. Reusable software components are developed in PyNN using spiking neurons in Nest and neuromorphic hardware. These
components are combined to implement agents in the Neurorobotics Platform, in other virtual environments or in robots.","Uniwersytet Middlesex ma siedzibę w Londynie. Jego badania w ramach HBP koncentrują się na Neuromorficznych Personifikowanych Agentach Uczących się. Komponenty programistyczne wielokrotnego wykorzystania tworzone są w PyNN za pomocą wzbudzania neuronów w NEST i maszynach neuromorficznych. Komponenty te łączy się ze sobą w celu implementacji agentów w Platformie Neurobotyki, innych środowiskach wirtualnych lub w robotach."
OS_MAP_P108_NAME,University of Lyon,Uniwersytet w Lyonie
OS_MAP_P108_CITY,"Lyon, France","Lyon, Francja"
OS_MAP_P109_NAME,Polytechnic of Turin (Politecnico di Torino),Politechnika Turyńska (Politecnico di Torino)
OS_MAP_P109_CITY,"Turin, Italy","Turyn, Włochy"
